Local Calc, Lattice Calc, Clock Local Calc, Clock Lattice Calc, Dipolar Local Calc, Dipolar Lattice Calc
8.16262, 8.16262, 7, 7, 1.16262, 1.16262
0, 0, -0, 0, 0, 0
-1.06107, -1.06107, -2, -2, 0.938935, 0.938935
1.42675, 1.42675, 1.5, 1.5, -0.0732482, -0.0732482
6.59338, 6.59338, 7, 7, -0.406625, -0.406625
6, 6, 6, 6, 0, 0
8.91396, 8.91396, 9, 9, -0.0860447, -0.0860447
4.5, 4.5, 4.5, 4.5, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
-0.588761, -0.588761, -1, -1, 0.411239, 0.411239
-1.39207, -1.39207, -1.5, -1.5, 0.107929, 0.107929
1.5, 1.5, 1.5, 1.5, 0, 0
6, 6, 6, 6, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
6.26676, 6.26676, 6, 6, 0.266764, 0.266764
0, 0, -0, 0, 0, 0
0.831501, 0.831501, 2, 2, -1.1685, -1.1685
0, 0, -0, 0, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
5.55312, 5.55312, 5, 5, 0.553122, 0.553122
0, 0, -0, 0, 0, 0
7.91856, 7.91856, 7, 7, 0.918556, 0.918556
0.992131, 0.992131, 0.5, 0.5, 0.492131, 0.492131
0, 0, -0, 0, 0, 0
5.38562, 5.38562, 5, 5, 0.385623, 0.385623
0, 0, -0, 0, 0, 0
0.315315, 0.315315, 1, 1, -0.684685, -0.684685
5.70804, 5.70804, 5, 5, 0.708044, 0.708044
1.28429, 1.28429, 2, 2, -0.715706, -0.715706
9.59895, 9.59895, 10, 10, -0.401051, -0.401051
6, 6, 6, 6, 0, 0
6, 6, 6, 6, 0, 0
8.53671, 8.53671, 8, 8, 0.536712, 0.536712
5.47119, 5.47119, 5, 5, 0.471186, 0.471186
-1.5, -1.5, -1.5, -1.5, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
3.59512, 3.59512, 4, 4, -0.404884, -0.404884
2.17836, 2.17836, 2.5, 2.5, -0.321644, -0.321644
6, 6, 6, 6, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
3, 3, 3, 3, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
1.72202, 1.72202, 1.5, 1.5, 0.222018, 0.222018
0.0124093, 0.0124093, -0, 0, 0.0124093, 0.0124093
3, 3, 3, 3, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9.63074, 9.63074, 10, 10, -0.369264, -0.369264
6, 6, 6, 6, 0, 0
9, 9, 9, 9, 0, 0
5.40864, 5.40864, 5, 5, 0.408644, 0.408644
3.09349, 3.09349, 3, 3, 0.0934856, 0.0934856
-0.941235, -0.941235, -0.5, -0.5, -0.441235, -0.441235
0, 0, -0, 0, 0, 0
3.08111, 3.08111, 3, 3, 0.0811134, 0.0811134
0.060924, 0.060924, 5.55112e-16, 0, 0.060924, 0.060924
0.461141, 0.461141, 1, 1, -0.538859, -0.538859
5.96189, 5.96189, 6, 6, -0.0381083, -0.0381083
6, 6, 6, 6, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
1.06166, 1.06166, 2, 2, -0.938341, -0.938341
-0.0813726, -0.0813726, -0, 0, -0.0813726, -0.0813726
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
5.96301, 5.96301, 6, 6, -0.0369941, -0.0369941
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
2.49872, 2.49872, 2, 2, 0.498717, 0.498717
0.510396, 0.510396, 1, 1, -0.489604, -0.489604
1.45045, 1.45045, 1.5, 1.5, -0.049551, -0.049551
6, 6, 6, 6, 0, 0
1.58938, 1.58938, 1.5, 1.5, 0.0893844, 0.0893844
1.05396, 1.05396, 0.5, 0.5, 0.553956, 0.553956
8.47822, 8.47822, 8, 8, 0.478224, 0.478224
-3.62275, -3.62275, -4, -4, 0.377253, 0.377253
0, 0, -0, 0, 0, 0
-0.858044, -0.858044, -0.5, -0.5, -0.358044, -0.358044
5.27611, 5.27611, 5, 5, 0.276114, 0.276114
3.70295, 3.70295, 2.5, 2.5, 1.20295, 1.20295
6, 6, 6, 6, 0, 0
2.9145, 2.9145, 3, 3, -0.0855006, -0.0855006
1.5, 1.5, 1.5, 1.5, 0, 0
0, 0, -0, 0, 0, 0
3.32188, 3.32188, 4, 4, -0.678121, -0.678121
-0.188585, -0.188585, -1, -1, 0.811415, 0.811415
5.78382, 5.78382, 5, 5, 0.783816, 0.783816
6, 6, 6, 6, 0, 0
4.5, 4.5, 4.5, 4.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
0, 0, -0, 0, 0, 0
-0.254013, -0.254013, 1.44329e-15, 0, -0.254013, -0.254013
3, 3, 3, 3, 0, 0
0, 0, -0, 0, 0, 0
4.13447, 4.13447, 4.5, 4.5, -0.365526, -0.365526
4.5, 4.5, 4.5, 4.5, 0, 0
3, 3, 3, 3, 0, 0
1.99422, 1.99422, 2.5, 2.5, -0.505777, -0.505777
8.83017, 8.83017, 9, 9, -0.169826, -0.169826
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
-1.21932, -1.21932, -0.5, -0.5, -0.719321, -0.719321
0, 0, -0, 0, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
2.59803, 2.59803, 2, 2, 0.59803, 0.59803
4.95832, 4.95832, 4, 4, 0.958324, 0.958324
0, 0, -0, 0, 0, 0
3, 3, 3, 3, 0, 0
-1.5, -1.5, -1.5, -1.5, 0, 0
1.90622, 1.90622, 2.5, 2.5, -0.593776, -0.593776
0.958392, 0.958392, 2, 2, -1.04161, -1.04161
2.92371, 2.92371, 3, 3, -0.0762903, -0.0762903
0, 0, -0, 0, 0, 0
0.929059, 0.929059, 0.5, 0.5, 0.429059, 0.429059
0, 0, -0, 0, 0, 0
7.5, 7.5, 7.5, 7.5, 0, 0
9, 9, 9, 9, 0, 0
6, 6, 6, 6, 0, 0
2.04295, 2.04295, 1, 1, 1.04295, 1.04295
3.47383, 3.47383, 4, 4, -0.526169, -0.526169
-0.373329, -0.373329, -1, -1, 0.626671, 0.626671
9, 9, 9, 9, 0, 0
0, 0, -0, 0, 0, 0
-2.98046, -2.98046, -3, -3, 0.0195407, 0.0195407
7.5, 7.5, 7.5, 7.5, 0, 0
8.56137, 8.56137, 8, 8, 0.56137, 0.56137
0, 0, -0, 0, 0, 0
3, 3, 3, 3, 0, 0
2.32112, 2.32112, 2, 2, 0.321117, 0.321117
6, 6, 6, 6, 0, 0
1.68858, 1.68858, 1.5, 1.5, 0.188584, 0.188584
0, 0, -0, 0, 0, 0
3.10884, 3.10884, 3, 3, 0.108836, 0.108836
3, 3, 3, 3, 0, 0
0, 0, -0, 0, 0, 0
-1.46779, -1.46779, -1.5, -1.5, 0.0322051, 0.0322051
3, 3, 3, 3, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
-0.508625, -0.508625, -1, -1, 0.491375, 0.491375
-1.55177, -1.55177, -1.5, -1.5, -0.0517707, -0.0517707
7.5, 7.5, 7.5, 7.5, 0, 0
3.2687, 3.2687, 3, 3, 0.268696, 0.268696
3, 3, 3, 3, 0, 0
2.08802, 2.08802, 2.5, 2.5, -0.411979, -0.411979
1.01447, 1.01447, 0.5, 0.5, 0.514474, 0.514474
-0.446693, -0.446693, -1, -1, 0.553307, 0.553307
0, 0, -0, 0, 0, 0
1.12713, 1.12713, 0.5, 0.5, 0.627134, 0.627134
1.96315, 1.96315, 1, 1, 0.963153, 0.963153
5.92855, 5.92855, 6, 6, -0.0714483, -0.0714483
0, 0, -0, 0, 0, 0
0, 0, -0, 0, 0, 0
2.141, 2.141, 2.5, 2.5, -0.358999, -0.358999
6.11145, 6.11145, 6, 6, 0.111451, 0.111451
1.87085, 1.87085, 2.5, 2.5, -0.629147, -0.629147
0, 0, -0, 0, 0, 0
-2.55715, -2.55715, -2, -2, -0.557151, -0.557151
9.61663, 9.61663, 10, 10, -0.383371, -0.383371
-0.975536, -0.975536, -0.5, -0.5, -0.475536, -0.475536
4.5, 4.5, 4.5, 4.5, 0, 0
0, 0, -0, 0, 0, 0
4.71122, 4.71122, 4.5, 4.5, 0.211222, 0.211222
8.34967, 8.34967, 8, 8, 0.349667, 0.349667
6.61988, 6.61988, 5.5, 5.5, 1.11988, 1.11988
3.61746, 3.61746, 2.5, 2.5, 1.11746, 1.11746
-1.63144, -1.63144, -1.5, -1.5, -0.131436, -0.131436
4.5, 4.5, 4.5, 4.5, 0, 0
1.5, 1.5, 1.5, 1.5, 0, 0
1.07836, 1.07836, 0.5, 0.5, 0.578355, 0.578355
4.5, 4.5, 4.5, 4.5, 0, 0
